MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Azimuth,Angle,Direction,Fall,cone direction,cone probability
1755325074649,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-260.01803165053815,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325074798,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-260.1430184940011,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325074904,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-260.3929877597288,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075002,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-260.5179701820821,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075117,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-260.76793060591507,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075238,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-260.54921555740503,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075341,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-260.79917524445204,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075464,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.3615629902573,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075569,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.3928058790703,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075659,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.4865339929985,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075767,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.6739877346401,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075861,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.049129037339,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325075965,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.6739877346401,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325076080,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.54901894187304,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325076173,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.45529138043594,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325076268,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-262.1113669076225,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325076383,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.45529138043594,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325076480,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-262.1113669076225,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325076592,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.8614381614337,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
1755325076710,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142873,139.9875225,-261.8301966538238,30.735317495090804,-90.0,163.69829166063255,106.30170833936745,0.0,0,0
