Second,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Azimuth,Angle,Direction,0,cone direction,cone probability,0,0,,
8.882,0,-9.34,-1.3,0.48,-0.25,5.25,-0.125,113.5625,13.5625,-90.875,0,0,-3.821433232,16211406.68,-83.18955774,73.9993171,360,9.442245496,0,0,0.008882,8.882,,
9.005,0,-9.22,-1.12,0.86,-0.125,-2.6875,-1.3125,115,14.6875,-89.1875,0,0,-3.821433232,16211406.68,-82.72173553,73.9993171,360,9.393790502,0,0,0.009005,9.005,,
9.151,0,-9.28,-1.25,0.28,-0.25,0.75,1.375,114.5625,13.5625,-89.1875,0,0,-4.519203466,16211406.68,-83.3761681,73.9993171,360,9.919344736,0,0,0.009151,9.151,,
9.273,0,-9.36,-0.42,0.63,-0.1875,-3.125,-0.5,115.6875,14.375,-87.5,0,0,-4.07517321,16211406.68,-82.91689437,73.9993171,360,9.390575062,0,0,0.009273,9.273,,
9.399,0,-9.34,-1.08,0.44,-0.75,3.4375,0.0625,114.1875,13.1875,-88.75,0,0,-3.504249666,16211406.68,-83.56689068,73.9993171,360,9.412523572,0,0,0.009399,9.399,,
9.572,0,-9.28,-1.04,0.67,0.125,-0.5625,-0.5625,113.875,12.875,1961,0,0,-3.662842643,16211406.68,-83.31351184,73.9993171,360,9.454824165,0,0,0.009572,9.572,,
9.691,0,-9.37,-0.74,0.46,0.1875,2.375,1.625,113.875,14.375,-89.6875,0,0,-4.868071253,16211406.68,-82.80532787,73.9993171,360,9.41042507,0,0,0.009691,9.691,,
9.792,0,-9.24,-0.89,0.61,0.625,-2.125,0.9375,114.5625,13.25,-87.0625,0,0,-3.504249666,16211406.68,-83.4026322,73.9993171,360,9.302784529,0,0,0.009792,9.792,,
9.925,0,-9.51,-0.96,0.18,-0.3125,3,-0.25,113.875,13.5625,-89.1875,0,0,-3.599405739,16211406.68,-83.39418459,73.9993171,360,9.427873567,0,0,0.009925,9.925,,
10.031,0,-9.39,-1.4,0.62,4.875,-6.75,1.4375,115,13.1875,-86.5625,0,0,-3.631124239,16211406.68,-83.45824382,73.9993171,360,9.514015976,0,0,0.010031,10.031,,
10.196,0,-9.1,-0.58,1.04,2.125,12.5625,-0.9375,110.5625,7.6875,-93.1875,0,0,-3.757997283,16211406.68,-85.60377144,73.9993171,360,9.177581381,0,0,0.010196,10.196,,
10.337,0,-9.38,-1,0.88,27.25,2.5625,0.8125,122.875,7.75,-94.75,0,0,-3.821433232,16211406.68,-86.39100812,73.9993171,360,8.987736089,0,0,0.010337,10.337,,
10.446,0,-9.16,-0.98,0.81,1.6875,-11.375,-2.3125,128.375,2.375,-102.6875,0,0,-3.757997283,16211406.68,-89.07141691,73.9993171,360,9.631391384,0,0,0.010446,10.446,,
10.544,0,-9.22,-0.66,0.85,-0.125,3.9375,1.0625,124.6875,1.0625,-102.5625,0,0,-3.440811807,16211406.68,-89.5117771,73.9993171,360,9.206269603,0,0,0.010544,10.544,,
10.663,0,-9.38,-0.94,0.09,-0.3125,3.8125,-0.5625,125.1875,1.5625,-101.0625,0,0,-3.313934943,16211406.68,-89.28491257,73.9993171,360,9.427412158,0,0,0.010663,10.663,,
10.79,0,-9.27,-0.86,0.77,-0.5,4.625,1.0625,126.6875,1.6875,-102,0,0,-3.567687143,16211406.68,-89.23685517,73.9993171,360,9.341595153,0,0,0.01079,10.79,,
10.905,0,-9.41,-0.78,0.5,0.1875,-6.3125,-1,128.5,2.75,-100.25,0,0,-3.409092734,16211406.68,-89.07730733,73.9993171,360,9.455501044,0,0,0.010905,10.905,,
10.999,0,-9.24,-0.94,0.73,-0.375,3.625,1.8125,124.375,3.25,-102.375,0,0,-2.996736097,16211406.68,-88.38366681,73.9993171,360,9.316335116,0,0,0.010999,10.999,,
11.12,0,-9.39,-0.62,0.26,0,-0.3125,0.5625,127.75,2.1875,-101.5,0,0,-3.187056551,16211406.68,-89.01900376,73.9993171,360,9.493808509,0,0,0.01112,11.12,,
11.241,0,-9.29,-0.83,0.62,-0.25,3.3125,0.375,127.375,2.1875,-101.6875,0,0,-3.250495938,16211406.68,-89.01611621,73.9993171,360,9.347587924,0,0,0.011241,11.241,,
11.381,0,-9.34,-0.73,0.53,0.1875,0.875,0.375,126.5625,2.875,-101.5625,0,0,-3.694560952,16211406.68,-88.69869005,73.9993171,360,9.383464179,0,0,0.011381,11.381,,
11.519,0,-9.36,-0.64,0.41,-0.4375,-0.375,-0.5625,127.25,2.5,-104.0625,0,0,-3.884868799,16211406.68,-89.00980117,73.9993171,360,9.390809337,0,0,0.011519,11.519,,
11.628,0,-9.37,-0.97,0.45,-0.1875,0.3125,0.0625,126.1875,2.5625,-102,0,0,-3.313934943,16211406.68,-88.83664976,73.9993171,360,9.409633362,0,0,0.011628,11.628,,
11.768,0,-9.34,-0.74,0.6,-0.375,0.6875,-0.375,126.1875,2.875,-102.375,0,0,-2.996736097,16211406.68,-88.8711652,73.9993171,360,9.394471779,0,0,0.011768,11.768,,
11.875,0,-9.3,-0.96,0.78,-0.1875,0.875,0.3125,126.5,2.875,-103.1875,0,0,-20.36517173,16211406.68,-88.69804733,73.9993171,360,9.346330831,0,0,0.011875,11.875,,
12.01,0,-9.33,-0.63,0.57,-0.3125,-1.1875,-0.375,125.75,1.75,-100.6875,0,0,-2.774691223,16211406.68,-89.2026947,73.9993171,360,9.458234508,0,0,0.01201,12.01,,
12.153,0,-9.33,-0.83,0.56,0,-0.375,-0.875,126.1875,3,-103,0,0,-4.106890277,16211406.68,-88.63809834,73.9993171,360,9.41886405,0,0,0.012153,12.153,,
12.322,0,-9.36,-0.86,0.59,-0.125,-1.375,0.0625,126.1875,2.5625,-102.5,0,0,-2.647806336,16211406.68,-88.33111362,73.9993171,360,9.407475751,0,0,0.012322,12.322,,
12.424,0,-9.35,-0.84,0.53,0,-0.5,0.25,125.75,2.1875,-102,0,0,-2.965015688,16211406.68,-89.00340455,73.9993171,360,9.402606022,0,0,0.012424,12.424,,
12.54,0,-9.29,-0.72,0.45,-0.375,-0.0625,-0.375,126.875,3.25,-102,0,0,-3.060176631,16211406.68,-88.64213209,73.9993171,360,9.706873853,0,0,0.01254,12.54,,
12.683,0,-9.3,-0.66,0.6,-0.125,0.375,-0.1875,126.1875,1.75,1945.25,0,0,-6.009739614,16211406.68,-89.2074212,73.9993171,360,9.342676276,0,0,0.012683,12.683,,
12.795,0,-9.42,-0.77,0.51,-0.1875,0.5625,-0.0625,125.75,2.1875,-102.1875,0,0,-2.806412206,16211406.68,-89.00340455,73.9993171,360,9.352304529,0,0,0.012795,12.795,,
12.958,0,-9.27,-0.76,0.67,-0.1875,1.625,1,124.6875,1.75,-103.1875,0,0,-2.996736097,16211406.68,-89.32264303,73.9993171,360,9.334007714,0,0,0.012958,12.958,,
13.104,0,-9.28,-0.85,0.49,0.0625,-3.9375,-0.9375,125.5,1.75,-103,0,0,-3.567687143,16211406.68,-89.00931204,73.9993171,360,9.431171719,0,0,0.013104,13.104,,
13.221,0,-9.38,-0.78,0.4,-0.4375,5,1.625,124,1.75,-101.5625,0,0,-5.312068094,16211406.68,-89.19144389,73.9993171,360,9.420870448,0,0,0.013221,13.221,,
13.349,0,-9.35,-0.94,0.56,-0.375,-2.6875,0,126.5625,2.1875,-103.6875,0,0,-2.457476141,16211406.68,-89.00980117,73.9993171,360,9.413803695,0,0,0.013349,13.349,,
13.515,0,-9.31,-0.76,0.58,-0.125,-2.875,-0.9375,125.75,1.5,-102.875,0,0,-2.742970144,16211406.68,-89.31658375,73.9993171,360,9.279897629,0,0,0.013515,13.515,,
13.666,0,-9.34,-0.72,0.33,-0.25,-0.375,-0.0625,124,1.5,-103.6875,0,0,-2.330587433,16211406.68,-88.98934259,73.9993171,360,9.446872498,0,0,0.013666,13.666,,
13.79,0,-9.38,-0.77,0.55,-0.25,1.125,0.3125,126.1875,2.1875,-104.1875,0,0,-2.679527701,16211406.68,-89.00685912,73.9993171,360,9.427608392,0,0,0.01379,13.79,,
13.919,0,-9.31,-0.73,0.5,-0.0625,-1.4375,-0.3125,126.875,2.1875,-102.375,0,0,-2.362309753,16211406.68,-89.0014197,73.9993171,360,9.351951668,0,0,0.013919,13.919,,
14.074,0,-9.12,-1.29,0.7,-0.4375,-3.9375,-0.6875,126.5,0.6875,-101.0625,0,0,-2.425754107,16211406.68,-89.68861296,73.9993171,360,9.237342691,0,0,0.014074,14.074,,
14.182,0,-9.82,-0.44,-0.38,-0.0625,-10.5,-3,126.1875,0.6875,-100.6875,0,0,-2.2354199,16211406.68,-89.68503387,73.9993171,360,9.837194722,0,0,0.014182,14.182,,
14.325,0,-9.76,-1.2,0.09,0.125,1.125,-0.625,124.6875,1.0625,-101.5,0,0,-4.614350372,16211406.68,-89.5117771,73.9993171,360,9.536865313,0,0,0.014325,14.325,,
14.445,0,-9.25,-0.46,-0.22,-0.1875,1.5,-0.5625,127.25,0,-100.6875,0,0,-2.108528518,16211406.68,-90,73.9993171,360,9.533645683,0,0,0.014445,14.445,,
14.567,0,-9.19,-0.85,0.82,-0.25,3.25,1.0625,124.1875,1.0625,-102,0,0,-2.108528518,16211406.68,-89.52441119,73.9993171,360,9.323969112,0,0,0.014567,14.567,,
14.675,0,-9.42,-0.96,0.06,-0.375,3.5,-0.125,126.375,0,1945.625,0,0,-2.203697198,16211406.68,-90,73.9993171,360,9.468980938,0,0,0.014675,14.675,,
14.866,0,-9.38,-0.87,0.27,-0.5,2.6875,-0.375,125.6875,-0.25,-104.375,0,0,-2.076805434,16211406.68,-89.88540859,73.9993171,360,9.43347762,0,0,0.014866,14.866,,
14.965,0,-9.33,-0.53,0.65,-0.0625,-2.75,-0.75,127.1875,0.25,-102.0625,0,0,-1.918188579,16211406.68,-89.88737945,73.9993171,360,9.412045474,0,0,0.014965,14.965,,
15.101,0,-9.43,-0.77,0.32,-0.1875,0.125,0.3125,126.5,-1.0625,-102.875,0,0,-1.474048682,16211406.68,-90.54266563,73.9993171,360,9.411190148,0,0,0.015101,15.101,,
15.226,0,-9.29,-0.79,0.59,0,0.3125,-0.0625,126.0625,-1.1875,-101.5,0,0,-1.537498385,16211406.68,-90.53783984,73.9993171,360,9.342178547,0,0,0.015226,15.226,,
15.376,0,-9.38,-0.81,0.55,0,-0.5625,-0.375,126.875,-1.75,-103.75,0,0,-1.696120971,16211406.68,-90.7902365,73.9993171,360,9.379520244,0,0,0.015376,15.376,,
15.49,0,-9.41,-0.87,0.36,-0.3125,1.3125,0,126.5,-0.75,-103,0,0,-4.297190677,16211406.68,-90.33969432,73.9993171,360,9.456986835,0,0,0.01549,15.49,,
15.669,0,-9.37,-0.75,0.43,-0.1875,0.1875,-0.125,126.0625,-1.5,-104.1875,0,0,-1.569223093,16211406.68,-90.48433866,73.9993171,360,9.409798085,0,0,0.015669,15.669,,
15.814,0,-9.38,-0.78,0.43,-0.25,1.1875,0.25,126.0625,-1.5,-101.6875,0,0,-1.315422752,16211406.68,-90.68172227,73.9993171,360,9.376427891,0,0,0.015814,15.814,,
15.957,0,-9.36,-0.82,0.45,-0.1875,0.5625,-0.125,127.1875,-1.5,-106.375,0,0,-1.156794433,16211406.68,-90.48122794,73.9993171,360,9.406620009,0,0,0.015957,15.957,,
16.069,0,-9.38,-0.77,0.5,-0.125,-0.25,-0.0625,126.5,-0.6875,-102.5625,0,0,-0.553985038,16211406.68,-90.31138704,73.9993171,360,9.388205366,0,0,0.016069,16.069,,
16.246,0,-9.35,-0.69,0.53,-0.125,0.5,0.125,126.875,-1.5,-104.1875,0,0,-0.966437298,16211406.68,-90.67735697,73.9993171,360,9.382355781,0,0,0.016246,16.246,,
16.353,0,-9.33,-0.88,0.44,-0.1875,0.0625,-0.0625,126.875,-1.5,-102.5,0,0,-1.061616295,16211406.68,-90.47980566,73.9993171,360,9.381732249,0,0,0.016353,16.353,,
16.493,0,-9.45,-0.75,0.49,-0.1875,-0.0625,0.0625,126.75,-1.75,-105.375,0,0,-4.519203466,16211406.68,-90.79101573,73.9993171,360,9.658912982,0,0,0.016493,16.493,,
16.613,0,-9.27,-0.78,0.48,-0.1875,-0.6875,-0.0625,126.5,-1.0625,-103.375,0,0,-0.83953063,16211406.68,-90.48122794,73.9993171,360,9.434055332,0,0,0.016613,16.613,,
16.76,0,-10.17,-1.03,0.46,0.25,-0.6875,1,125.6875,-1.5,-104.5625,0,0,-5.090072012,16211406.68,-90.47980566,73.9993171,360,10.2323702,0,0,0.01676,16.76,,
16.954,0,-9.34,-0.81,0.56,0,-0.125,-0.5,126.0625,-0.75,-102.5,0,0,-1.251971711,16211406.68,-90.5383718,73.9993171,360,9.391767672,0,0,0.016954,16.954,,
17.064,0,-9.35,-0.78,0.4,-0.1875,0.0625,0.0625,126.375,-1.5,-104.0625,0,0,-2.647806336,16211406.68,-90.68003667,73.9993171,360,9.391001012,0,0,0.017064,17.064,,
17.168,0,-9.3,-0.76,0.43,-0.1875,0.5,0.125,126.875,-1.5,-101.1875,0,0,-6.485398255,16211406.68,-90.67735697,73.9993171,360,9.417584616,0,0,0.017168,17.168,,
17.303,0,-9.32,-0.82,0.52,-0.25,0.375,0.4375,126.5,-1.1875,-103.75,0,0,-0.585712708,16211406.68,-90.67569285,73.9993171,360,9.426144493,0,0,0.017303,17.303,,
17.43,0,-8.9,-0.84,0.55,-0.1875,-1.3125,0.125,126.5,-1.0625,-102.5,0,0,-0.268431706,16211406.68,-90.99068796,73.9993171,360,8.957912703,0,0,0.01743,17.43,,
17.543,0,-9.3,-0.97,0.36,-0.1875,0.875,-0.5625,126.5,-1.5,-104.5625,0,0,-0.712622434,16211406.68,-90.67936476,73.9993171,360,9.357376769,0,0,0.017543,17.543,,
17.682,0,-9.38,-1.08,0.47,-0.125,3.625,-0.1875,126,-1.75,-102.5625,0,0,-0.078058517,16211406.68,-90.68206039,73.9993171,360,9.234830805,0,0,0.017682,17.682,,
