MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object Distance,Azimuth,Angle,Direction,Fall,,
1.74331E+12,0,-9.4276,1.0191999999999999,0.4214,23.5714,20.0716,-2.2572,-114,-114,108,0,0,0,16211370.731569242,0,-46.5481577,73.99940598223328,360,9.491890663087096,,
1.74331E+12,0,-9.7314,1.7835999999999999,0.1568,54.758,33.0296,-5.0958,-121,-121,98,0,0,0,16211370.731569242,0,-50.9953868,73.99940598223328,360,9.894744118,,
1.74331E+12,0,-10.2802,1.911,0.0294,50.0992,14.0676,-13.737,-121,-121,87,0,0,0,16211370.731569242,0,-54.28355281,73.99940598223328,360,10.456352012054682,,
1.74331E+12,0,-10.143,2.1952,-0.2254,44.5968,7.4594,-8.9528,-121,-121,87,0,0,0,16211370.731569242,0,-54.28355281,73.99940598223328,360,10.380277318068144,,
1.74331E+12,0,-10.5546,1.5386,-0.3724,51.4672,3.9596,2.9298,-124,-124,82,0,0,0,16211370.731569242,0,-56.5237217,73.99940598223328,360,10.672654443951606,,
1.74331E+12,0,-10.1822,1.176,-0.5292,52.3298,0.133,2.793,-124,-124,82,0,0,0,16211370.731569242,0,-56.5237217,73.99940598223328,360,10.263538643177604,,
1.74331E+12,0,-10.4468,1.4602,-0.6076,55.1228,-2.3104,-1.5618,-123,-123,76,0,0,0,16211370.731569242,0,-58.28865413,73.99940598223328,360,10.565840810839429,,
1.74331E+12,0,-10.0156,1.3621999999999999,-0.6664,53.4812,-3.6822,6.935,-126,-126,74,0,0,0,16211370.731569242,0,-59.5742162,73.99940598223328,360,10.12975425,,
1.74331E+12,0,-10.0156,1.3621999999999999,-0.6664,55.2938,-1.4288,6.9502,-121,-121,67,0,0,0,16211370.731569242,0,-61.02586745,73.99940598223328,360,10.12975425,,
1.74331E+12,0,-10.0646,1.764,-1.1858,45.2504,2.9868,4.6626,-121,-121,67,0,0,0,16211370.731569242,0,-61.02586745,73.99940598223328,360,10.28659276923122,,
1.74331E+12,0,-10.0646,1.764,-1.1858,42.2788,1.007,5.1718,-123,-123,60,0,0,0,16211370.731569242,0,-63.99665416,73.99940598223328,360,10.28659276923122,,
1.74331E+12,0,-9.4962,1.9207999999999998,-1.4504,39.6986,0.8094,-2.7132,-118,-118,54,0,0,0,16211370.731569242,0,-65.40988283,73.99940598223328,360,9.796476266495011,,
1.74331E+12,0,-8.7416,1.3916,-1.0584,46.9604,-4.0318,3.1844,-118,-118,54,0,0,0,16211370.731569242,0,-65.40988283,73.99940598223328,360,8.914725552702114,,
1.74331E+12,0,-9.0258,1.2544,-1.0192,41.5986,-13.2582,9.6482,-120,-120,53,0,0,0,16211370.731569242,0,-66.17055052,73.99940598223328,360,9.169370406,,
1.74331E+12,0,-9.9078,1.3916,-1.4602,39.102,-16.0588,4.0241999999999996,-120,-120,47,0,0,0,16211370.731569242,0,-68.61137717,73.99940598223328,360,10.111045219956244,,
1.74331E+12,0,-9.9078,1.3916,-1.4602,44.0078,-5.263,4.2256,-118,-118,42,0,0,0,16211370.731569242,0,-70.40771811,73.99940598223328,360,10.111045219956244,,
1.74331E+12,0,-10.8192,0.833,-1.0682,54.4996,-15.0328,15.7586,-118,-118,42,0,0,0,16211370.731569242,0,-70.40771811,73.99940598223328,360,10.903670431556522,,
1.74331E+12,0,-10.5448,0.9506,-1.0486,58.5238,-4.2902,14.6794,-110,-110,38,0,0,0,16211370.731569242,0,-70.94229549,73.99940598223328,360,10.639361322936637,,
1.74331E+12,0,-9.6334,0.8231999999999999,-1.2838,61.8716,-7.0262,5.0312,-115,-115,31,0,0,0,16211370.731569242,0,-74.91364599,73.99940598223328,360,9.753368456,,
1.74331E+12,0,-10.0646,0.7252,-1.0878,66.9712,-0.2242,10.1992,-114,-114,19,0,0,0,16211370.731569242,0,-80.53767779,73.99940598223328,360,10.149157454685586,,
1.74331E+12,0,-10.0254,0.7938,-0.931,60.1578,-4.0052,13.205,-114,-114,19,0,0,0,16211370.731569242,0,-80.53767779,73.99940598223328,360,10.099778443114483,,
1.74331E+12,0,-9.5158,0.7056,-0.8134,66.8952,-17.1494,6.2928,-114,-114,11,0,0,0,16211370.731569242,0,-84.48852258,73.99940598223328,360,9.576530716287607,,
1.74331E+12,0,-9.1336,0.4018,-0.637,68.8142,-19.9994,9.6634,-114,-114,11,0,0,0,16211370.731569242,0,-84.48852258,73.99940598223328,360,9.164598256333989,,
1.74331E+12,0,-9.8784,0.147,-0.5292,74.9094,-16.8796,14.3222,-107,-107,2,0,0,0,16211370.731569242,0,-88.92917555,73.99940598223328,360,9.893656967977007,,
1.74331E+12,0,-10.143,0.6174,-0.5978,68.5064,-4.3472,-9.5532,-110,-110,-6,0,0,0,16211370.731569242,0,-93.12213046,73.99940598223328,360,10.17934165847674,,
1.74331E+12,0,-9.8294,1.764,-1.2838,49.818,-23.788,5.7038,-115,-115,-13,0,0,0,16211370.731569242,0,-96.4495347,73.99940598223328,360,10.068611761310493,,
1.74331E+12,0,-9.9078,1.4112,-1.6072,58.3338,-12.3728,10.8186,-115,-115,-13,0,0,0,16211370.731569242,0,-96.4495347,73.99940598223328,360,10.136028715428937,,
1.74331E+12,0,-9.9078,1.9305999999999999,-1.8424,62.643,-1.9,-5.89,-110,-110,-20,0,0,0,16211370.731569242,0,-100.3048465,73.99940598223328,360,10.260904197973979,,
1.74331E+12,0,-9.7314,2.4304,-2.4402,61.7044,-0.114,8.8692,-110,-110,-20,0,0,0,16211370.731569242,0,-100.3048465,73.99940598223328,360,10.322866179506542,,
1.74331E+12,0,-9.7216,1.7933999999999999,-1.8424,42.6018,-1.862,18.6504,-108,-108,-27,0,0,0,16211370.731569242,0,-104.0362435,73.99940598223328,360,10.055855402699464,,
1.74331E+12,0,-10.3292,1.568,-1.6366,29.0928,-10.4462,7.8546,-107,-107,-32,0,0,0,16211370.731569242,0,-106.6501055,73.99940598223328,360,10.574944737444259,,
1.74331E+12,0,-10.5056,1.3426,-1.4994,21.7436,-16.1386,-2.736,-110,-110,-35,0,0,0,16211370.731569242,0,-107.6501242,73.99940598223328,360,10.69665399,,
1.74331E+12,0,-9.8196,0.8036,-1.617,17.5028,-6.5208,-4.8906,-110,-110,-35,0,0,0,16211370.731569242,0,-107.6501242,73.99940598223328,360,9.984237883784619,,
1.74331E+12,0,-9.4276,1.0682,-1.813,14.1778,-2.7056,-0.5054,-109,-109,-35,0,0,0,16211370.731569242,0,-107.8018721,73.99940598223328,360,9.659589121696635,,
1.74331E+12,0,-9.8882,1.2935999999999999,-1.8032,11.1112,4.5296,16.7998,-109,-109,-35,0,0,0,16211370.731569242,0,-107.8018721,73.99940598223328,360,10.134171423456383,,
1.74331E+12,0,-9.8882,1.2935999999999999,-1.8032,4.2066,-0.19,19.114,-111,-111,-37,0,0,0,16211370.731569242,0,-108.4349488,73.99940598223328,360,10.134171423456383,,
1.74331E+12,0,-12.5048,2.0482,-0.7546,-15.4242,-8.721,-14.706,-112,-112,-35,0,0,0,16211370.731569242,0,-107.3540246,73.99940598223328,360,12.693879132873448,,
1.74331E+12,0,-11.1132,2.891,0.2842,1.2996,3.0894,-10.9402,-111,-111,-32,0,0,0,16211370.731569242,0,-106.081652,73.99940598223328,360,11.486595008095305,,
1.74331E+12,0,-10.2018,0.9114,-0.0098,-5.244,6.3118,-10.1878,-118,-118,-34,0,0,0,16211370.731569242,0,-106.0735742,73.99940598223328,360,10.242434732035154,,
1.74331E+12,0,-12.9262,1.6463999999999999,0.7545999999999999,10.1308,-42.0052,18.4908,-110,-110,-33,0,0,0,16211370.731569242,0,-106.6992442,73.99940598223328,360,13.052459559791785,,
1.74331E+12,0,-11.0446,1.1172,0.9898,12.6464,-0.038,1.0716,-117,-117,-28,0,0,0,16211370.731569242,0,-103.4586846,73.99940598223328,360,11.145000181247195,,
1.74331E+12,0,-10.1136,1.0486,1.2544,2.7132,14.877,-7.9686,-117,-117,-28,0,0,0,16211370.731569242,0,-103.4586846,73.99940598223328,360,10.244900501224988,,
1.74331E+12,0,-9.0944,1.5484,1.0682,-19.057,2.5802,-5.795,-119,-119,-28,0,0,0,16211370.731569242,0,-103.2405199,73.99940598223328,360,9.286910421,,
1.74331E+12,0,-9.7902,0.5781999999999999,0.9114,16.7276,-25.4334,23.522,-114,-114,-25,0,0,0,16211370.731569242,0,-102.3690615,73.99940598223328,360,9.849516802361423,,
1.74331E+12,0,-9.0552,2.2441999999999998,0.5488,42.8868,-15.7472,11.2176,-110,-110,-26,0,0,0,16211370.731569242,0,-103.2985703,73.99940598223328,360,9.345280205536909,,
1.74331E+12,0,-8.2516,2.8811999999999998,0.4214,46.9414,-15.3786,8.1206,-110,-110,-26,0,0,0,16211370.731569242,0,-103.2985703,73.99940598223328,360,8.750302506770836,,
1.74331E+12,0,-8.4476,3.0576,-0.0098,33.535,-23.5486,-3.2794,-115,-115,-31,0,0,0,16211370.731569242,0,-105.086354,73.99940598223328,360,8.983927846994321,,
1.74331E+12,0,-8.6632,3.1066,0.245,17.9322,-8.7628,-3.7772,-116,-116,-32,0,0,0,16211370.731569242,0,-105.4221613,73.99940598223328,360,9.206629285465988,,
1.74331E+12,0,-8.6632,3.1066,0.245,14.4476,2.1394,6.954,-116,-116,-32,0,0,0,16211370.731569242,0,-105.4221613,73.99940598223328,360,9.206629285465988,,
1.74331E+12,0,-9.2218,3.3026,-0.4214,-11.5824,1.1932,13.623,-119,-119,-32,0,0,0,16211370.731569242,0,-105.05122,73.99940598223328,360,9.80440411,,
1.74331E+12,0,-9.9274,2.6264,0.0882,-30.1188,7.5544,23.1306,-115,-115,-30,0,0,0,16211370.731569242,0,-104.620874,73.99940598223328,360,10.269324562014777,,
1.74331E+12,0,-9.8098,2.6264,0.0196,-27.512,6.4828,19.8778,-114,-114,-31,0,0,0,16211370.731569242,0,-105.2125829,73.99940598223328,360,10.155320633047484,,
1.74331E+12,0,-9.849,2.254,0.10779999999999999,-7.3416,7.5544,9.8306,-105,-105,-28,0,0,0,16211370.731569242,0,-104.9314172,73.99940598223328,360,10.104203968645923,,
1.74331E+12,0,-9.31,1.7933999999999999,0.8428,8.9604,0.684,3.876,-107,-107,-27,0,0,0,16211370.731569242,0,-104.1621681,73.99940598223328,360,9.518544815254064,,
1.74331E+12,0,-9.3198,2.205,-0.6762,-15.3824,-29.3778,-5.2858,-112,-112,-20,0,0,0,16211370.731569242,0,-100.1246717,73.99940598223328,360,9.600934510765084,,
1.74331E+12,0,-13.3672,3.6946,0.8134,25.1446,17.879,-53.5724,-115,-115,-23,0,0,0,16211370.731569242,0,-101.3099325,73.99940598223328,360,13.892218129586073,,
1.74331E+12,0,-13.3672,3.6946,0.8134,20.5314,4.4193999999999996,-57.5054,-115,-115,-23,0,0,0,16211370.731569242,0,-101.3099325,73.99940598223328,360,13.892218129586073,,
1.74331E+12,0,-9.898,1.7542,2.1462,-6.9502,69.5856,-20.8962,-121,-121,-33,0,0,0,16211370.731569242,0,-105.2551187,73.99940598223328,360,10.278803241623024,,
1.74331E+12,0,-12.7106,-1.3132,-0.833,-6.7678,15.5002,4.4802,-116,-116,-42,0,0,0,16211370.731569242,0,-109.9037495,73.99940598223328,360,12.805379166584643,,
1.74331E+12,0,-10.3978,0.20579999999999998,-1.9404,-0.2736,-15.6332,13.6154,-113,-113,-39,0,0,0,16211370.731569242,0,-109.0412307,73.99940598223328,360,10.579307663547743,,
1.74331E+12,0,-10.1038,1.4014,-0.5782,-0.1482,-9.0364,-9.215,-120,-120,-39,0,0,0,16211370.731569242,0,-108.0041616,73.99940598223328,360,10.216898337558224,,
1.74331E+12,0,-10.1822,0.6859999999999999,-0.6468,-0.2926,0.4332,7.1858,-119,-119,-39,0,0,0,16211370.731569242,0,-108.1455787,73.99940598223328,360,10.22575880216231,,
1.74331E+12,0,-10.339,-0.1372,-0.6468,-0.7676,1.7594,6.9198,-114,-114,-37,0,0,0,16211370.731569242,0,-107.9814297,73.99940598223328,360,10.360120418219086,,
1.74331E+12,0,-10.0548,1.2838,-0.7644,-0.4104,-0.8892,-3.8798,-114,-114,-37,0,0,0,16211370.731569242,0,-107.9814297,73.99940598223328,360,10.165207958522048,,
1.74331E+12,0,-10.0548,1.2838,-0.7644,-0.5586,-4.1762,-3.0932,-115,-115,-39,0,0,0,16211370.731569242,0,-108.7333616,73.99940598223328,360,10.165207958522048,,
1.74331E+12,0,-10.143,0.8134,-0.5684,0.228,2.1318,1.0032,-116,-116,-34,0,0,0,16211370.731569242,0,-106.3360429,73.99940598223328,360,10.191425176097797,,
1.74331E+12,0,-10.1626,0.9309999999999999,-0.8232,0.779,-1.9114,-2.4966,-121,-121,-35,0,0,0,16211370.731569242,0,-106.1328405,73.99940598223328,360,10.238303472743908,,
1.74331E+12,0,-10.1626,0.7938,-0.5782,-0.9766,1.8126,0.9006,-116,-116,-37,0,0,0,16211370.731569242,0,-107.6908896,73.99940598223328,360,10.209939884250053,,
1.74331E+12,0,-10.192,0.588,-0.5292,-0.2584,1.4554,0.5852,-116,-116,-37,0,0,0,16211370.731569242,0,-107.6908896,73.99940598223328,360,10.22265428545835,,
1.74331E+12,0,-10.1822,0.784,-0.735,-0.95,-1.4516,0.4826,-120,-120,-37,0,0,0,16211370.731569242,0,-107.1362745,73.99940598223328,360,10.238753724941331,,
1.74331E+12,0,-10.1528,0.8428,-0.7154,-0.9234,-2.033,0.0684,-120,-120,-37,0,0,0,16211370.731569242,0,-107.1362745,73.99940598223328,360,10.21280846975992,,
1.74331E+12,0,-10.1822,0.7153999999999999,-0.6076,-0.114,0.6422,0.3078,-120,-120,-38,0,0,0,16211370.731569242,0,-107.5712588,73.99940598223328,360,10.225369028059573,,
1.74331E+12,0,-10.1626,0.7938,-0.6664,0.8322,0.361,-1.0526,-120,-120,-38,0,0,0,16211370.731569242,0,-107.5712588,73.99940598223328,360,10.215314295703289,,
1.74331E+12,0,-10.1724,0.7252,-0.637,0.133,0.532,0.9576,-121,-121,-37,0,0,0,16211370.731569242,0,-107.0028526,73.99940598223328,360,10.218092082184423,,
1.74331E+12,0,-10.1724,0.784,-0.686,-0.4142,-0.2128,-0.1862,-121,-121,-37,0,0,0,16211370.731569242,0,-107.0028526,73.99940598223328,360,10.225603833515162,,
1.74331E+12,0,-10.1724,0.8134,-0.7252,-1.14,-1.0032,0.551,-113,-113,-38,0,0,0,16211370.731569242,0,-108.5869267,73.99940598223328,360,10.230603909838363,,
1.74331E+12,0,-10.1724,0.7448,-0.6468,-0.8132,-0.6916,0.7866,-117,-117,-38,0,0,0,16211370.731569242,0,-107.9930878,73.99940598223328,360,10.220117369189063,,
1.74331E+12,0,-10.1724,0.7448,-0.6566,0.228,-0.0038,-0.019,-117,-117,-38,0,0,0,16211370.731569242,0,-107.9930878,73.99940598223328,360,10.220742260716685,,
1.74331E+12,0,-10.1626,0.7938,-0.686,-0.4218,0.0342,-0.456,-115,-115,-34,0,0,0,16211370.731569242,0,-106.4704284,73.99940598223328,360,10.216611630085582,,
1.74331E+12,0,-10.1724,0.7644,-0.686,-0.2926,-0.5852,0.152,-123,-123,-34,0,0,0,16211370.731569242,0,-105.4520106,73.99940598223328,360,10.224119772381385,,
